movie,director,relation
无间道3：终极无间 無間道III 終極無間,麦兆辉,DirectBy
爱在黎明破晓前 Before Sunrise,理查德·林克莱特,DirectBy
十二公民,徐昂,DirectBy
天堂电影院 Nuovo Cinema Paradiso,朱塞佩·托纳多雷,DirectBy
超脱 Detachment,托尼·凯耶,DirectBy
赌神 賭神,王晶,DirectBy
血观音 血觀音,杨雅喆,DirectBy
蝙蝠侠：侠影之谜 Batman Begins,克里斯托弗·诺兰,DirectBy
青蛇,徐克,DirectBy
雪国列车 설국열차,奉俊昊,DirectBy
风声,陈国富,DirectBy
风声,高群书,DirectBy
寒战 寒戰,梁乐民,DirectBy
寒战 寒戰,陆剑青,DirectBy
我不是潘金莲,冯小刚,DirectBy
狩猎 Jagten,托马斯·温特伯格,DirectBy
琅琊榜,孔笙,DirectBy
琅琊榜,李雪,DirectBy
罗马 Roma,阿方索·卡隆,DirectBy
爆裂鼓手 Whiplash,达米恩·查泽雷,DirectBy
至暗时刻 Darkest Hour,乔·赖特,DirectBy
我是证人,安相勋,DirectBy
无间道2 無間道II,刘伟强,DirectBy
无间道2 無間道II,麦兆辉,DirectBy
哆啦A梦：伴我同行 STAND BY ME ドラえもん,八木龙一,DirectBy
哆啦A梦：伴我同行 STAND BY ME ドラえもん,山崎贵,DirectBy
白日梦想家 The Secret Life of Walter Mitty,本·斯蒂勒,DirectBy
印度合伙人 Padman,R·巴尔基,DirectBy
花木兰 Mulan,巴里·库克,DirectBy
花木兰 Mulan,托尼·班克罗夫特,DirectBy
香水 Perfume: The Story of a Murderer,汤姆·提克威,DirectBy
嘉年华,文晏,DirectBy
E.T. 外星人 E.T.: The Extra-Terrestrial,史蒂文·斯皮尔伯格,DirectBy
大鱼 Big Fish,蒂姆·波顿,DirectBy
小森林 冬春篇 リトル・フォレスト 冬・春,森淳一,DirectBy
春娇救志明 春嬌救志明,彭浩翔,DirectBy
集结号,冯小刚,DirectBy
她 Her,斯派克·琼斯,DirectBy
神探夏洛克：可恶的新娘 Sherlock: The Abominable Bride,道格拉斯·麦金农,DirectBy
伯德小姐 Lady Bird,格蕾塔·葛韦格,DirectBy
杀破狼2 殺破狼2,郑保瑞,DirectBy
英雄,张艺谋,DirectBy
荒蛮故事 Relatos salvajes,达米安·斯兹弗隆,DirectBy
春娇与志明 春嬌與志明,彭浩翔,DirectBy
幸福终点站 The Terminal,史蒂文·斯皮尔伯格,DirectBy
钢琴家 The Pianist,罗曼·波兰斯基,DirectBy
第六感 The Sixth Sense,M·奈特·沙马兰,DirectBy
第九区 District 9,尼尔·布洛姆坎普,DirectBy
家有喜事 家有囍事,高志森,DirectBy
侧耳倾听 耳をすませば,近藤喜文,DirectBy
百鸟朝凤,吴天明,DirectBy
延禧攻略,惠楷栋,DirectBy
延禧攻略,温德光,DirectBy
与神同行：罪与罚 신과함께-죄와 벌,金容华,DirectBy
香蜜沉沉烬如霜,朱锐斌,DirectBy
香蜜沉沉烬如霜,李秉光,DirectBy
香蜜沉沉烬如霜,澄丰,DirectBy
全民目击,非行,DirectBy
魂断蓝桥 Waterloo Bridge,茂文·勒鲁瓦,DirectBy
云图 Cloud Atlas,汤姆·提克威,DirectBy
云图 Cloud Atlas,拉娜·沃卓斯基,DirectBy
云图 Cloud Atlas,莉莉·沃卓斯基,DirectBy
追凶者也,曹保平,DirectBy
使徒行者,文伟鸿,DirectBy
暮光之城2：新月 The Twilight Saga: New Moon,克里斯·韦兹,DirectBy
入殓师 おくりびと,泷田洋二郎,DirectBy
无耻混蛋 Inglourious Basterds,昆汀·塔伦蒂诺,DirectBy
窃听风云 竊聽風雲,麦兆辉,DirectBy
窃听风云 竊聽風雲,庄文强,DirectBy
归来,张艺谋,DirectBy
海街日记 海街diary,是枝裕和,DirectBy
控方证人 Witness for the Prosecution,比利·怀德,DirectBy
白夜追凶,王伟,DirectBy
十二怒汉 12 Angry Men,西德尼·吕美特,DirectBy
我身体里的那个家伙 내안의 그놈,姜孝镇,DirectBy
大象席地而坐,胡波,DirectBy
爱在日落黄昏时 Before Sunset,理查德·林克莱特,DirectBy
黄金大劫案,宁浩,DirectBy
触及真心 진심이 닿다,朴俊和,DirectBy
汉江怪物 괴물,奉俊昊,DirectBy
白日焰火,刁亦男,DirectBy
甜蜜蜜,陈可辛,DirectBy
人工智能 Artificial Intelligence: AI,史蒂文·斯皮尔伯格,DirectBy
解忧杂货店,韩杰,DirectBy
钢的琴,张猛,DirectBy
赌侠 賭俠,王晶,DirectBy
遇见你之前 Me Before You,西娅·夏罗克,DirectBy
特工 공작,尹钟彬,DirectBy
画皮2 畫皮Ⅱ,乌尔善,DirectBy
寒战2 寒戰II,梁乐民,DirectBy
寒战2 寒戰II,陆剑青,DirectBy
一步之遥,姜文,DirectBy
师父,徐浩峰,DirectBy
青春派,刘杰,DirectBy
山楂树之恋,张艺谋,DirectBy
3年A班 -从现在起、大家都是人质- 3年A組 -今から皆さんは、人質です-,小室直子,DirectBy
3年A班 -从现在起、大家都是人质- 3年A組 -今から皆さんは、人質です-,铃木勇马,DirectBy
3年A班 -从现在起、大家都是人质- 3年A組 -今から皆さんは、人質です-,水野格,DirectBy
僵尸新娘 Corpse Bride,蒂姆·波顿,DirectBy
僵尸新娘 Corpse Bride,迈克·约翰逊,DirectBy
这个男人来自地球 The Man from Earth,理查德·沙因克曼,DirectBy
窃听风云2,麦兆辉,DirectBy
窃听风云2,庄文强,DirectBy
爱在午夜降临前 Before Midnight,理查德·林克莱特,DirectBy
暮光之城3：月食 The Twilight Saga: Eclipse,大卫·斯雷德,DirectBy
幸福的拉扎罗 Lazzaro felice,阿莉切·罗尔瓦赫尔,DirectBy
一天 One Day,罗勒·莎菲,DirectBy
月球 Moon,邓肯·琼斯,DirectBy
血钻 Blood Diamond,爱德华·兹威克,DirectBy
华尔街之狼 The Wolf of Wall Street,马丁·斯科塞斯,DirectBy
摇摆狂潮 스윙키즈,姜炯哲,DirectBy
浪矢解忧杂货店 ナミヤ雑貨店の奇蹟,广木隆一,DirectBy
萤火虫之墓 火垂るの墓,高畑勋,DirectBy
无人知晓 誰も知らない,是枝裕和,DirectBy
雨人 Rain Man,巴瑞·莱文森,DirectBy
我的天才女友 第一季 L'amica geniale Season 1,萨维里奥·科斯坦佐,DirectBy
假如爱有天意 클래식,郭在容,DirectBy
镰仓物语 DESTINY 鎌倉ものがたり,山崎贵,DirectBy
新龙门客栈 新龍門客棧,李惠民,DirectBy
搜索,陈凯歌,DirectBy
你看起来好像很好吃 おまえうまそうだな,藤森雅也,DirectBy
杀死伊芙 第一季 Killing Eve Season 1,荣·伊斯特,DirectBy
杀死伊芙 第一季 Killing Eve Season 1,达蒙·托马斯,DirectBy
杀死伊芙 第一季 Killing Eve Season 1,哈利·布拉德比尔,DirectBy
杀破狼·贪狼 殺破狼‧貪狼,叶伟信,DirectBy
社交网络 The Social Network,大卫·芬奇,DirectBy
皓镧传,李达超,DirectBy
权力的游戏 第八季 Game of Thrones Season 8,米格尔·萨普什尼克,DirectBy
权力的游戏 第八季 Game of Thrones Season 8,大卫·努特尔,DirectBy
